name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield efficiency,shield upkeep,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
ButterFly,HSI_ButterFly,Materialization,Unknown,emp,4,900,150,1000,,150,0,,400,325,300,180,120,10,NONE,,,,,,,0,0,,,,,,,,,,,0,0,HIDE_IN_CODEX,"restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
Flanker,HSI_Flanker,Interceptor,Halo Dynamics Ship Industry,flarelauncher_fighter,1,500,100,400,,40,0,,150,280,190,90,180,20,NONE,,,,,,,2,2,0,0,0,0,12,4000,,,,,0,0,,,,,,,,
Mayfly,HSI_Mayfly,Support,Halo Dynamics Ship Industry,HSI_SpaceStorm,1,600,200,600,,80,0,,140,250,200,100,200,40,NONE,,,,,,,2,2,0,0,0,0,12,4000,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daylight,HSI_DayTime,Fighter,Halo Dynamics Ship Industry,HSI_DayTimeAurora,4,750,75,550,,150,,,350,475,400,360,650,35,OMNI,,180,1,0,,,0,0,0,0,0,0,12,4000,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#UCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse,HSI_Apocalyse,Heavy Autonomous Combat Unit,Halo Dynamics Weapons Industry,HSI_DreadnoughtCharge,3,1500,300,1600,,150,0,,105,115,60,135,135,70,FRONT,,360,1,0,,,0,0,,,,,,18000,,,,,0,0,,,0.3,,,,,
Arbalétrier,HSI_Arbaletrier,Strike Autonomous Combat Unit,Halo Dynamics Weapons Industry,HSI_Arbaletrier_Support,3,600,150,750,,100,0,,75,75,75,150,150,35,PHASE,HSI_ShieldUp,,,,0,0,0,0,,,,,,14000,,,,,0,0,,,0.2,,,,,
Arbalétrier,HSI_Arbaletrier_WingMan,Strike Autonomous Combat Unit,Halo Dynamics Weapons Industry,,3,600,150,750,,100,0,,75,75,75,150,150,35,PHASE,HSI_ShieldUp,,,,0,0,0,0,,,,,,14000,,,,,0,0,,,0.2,,,,,
Dancer,HSI_Dancer,Light Autonomous Combat Unit,Halo Dynamics Weapons Industry,,1,500,75,500,,75,0,,425,600,500,360,700,25,PHASE,HSI_DodgeFighter,120,1,0,0,0,0,0,,,,,,14000,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Special#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Turret,HSI_PhaseTurret,Medium Turret,Halo Dynamics Ship Industry,,0,1200,400,4000,4000,400,0,,325,250,250,120,90,40,NONE,,120,1,0,,,0,0,0,0,0,,12,,,,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
EngineFX,HSI_EngineFXDrone,EngineFX,,,0,10000000,0,100000,,100000,,,100,100,100,100,100,100,NONE,,,,,,,,,,,,,,,,,,,,,,"restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelot,HSI_Camelot,Portable Fortress,Halo Dynamics Ship Industry,emp,21,12000,1600,20000,20000,600,300,,0,0,0,0,0,2500,OMNI,,360,1,0.1,,,0,0,0,0,0,0,0,500000,,0,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,0,1,1,,
Small Wingman,HSI_Wingman,Small Wingman,Halo Dynamics Weapons Industry,,0,350,75,2000,,50,0,,325,300,275,240,200,1,FRONT,,360,1,0,,,0,0,0,0,0,,12,,,,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
Small Wingman,HSI_Wingman_Trail,Small Wingman,Halo Dynamics Weapons Industry,,0,350,75,2000,,50,0,,325,300,275,240,200,1,FRONT,,360,1,0,,,0,0,0,0,0,,12,,,,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
Medium Wingman,HSI_Tunnel,Medium Wingman,Halo Dynamics Weapons Industry,,0,350,75,2000,,2000,0,,600,600,600,720,720,1,NONE,,120,1,0,,,0,0,0,0,0,,12,,,,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX","restricted,no_sell,no_bp_drop,no_drop,no_drop_salvage",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freischütz,HSI_F_01_69,E.G.O,L Department,,15,4000,400,6000,,400,60,,105,80,60,45,30,350,PHASE,HSI_ButterflyDive,,,,0.02,0.03,120,180,50,70,3,15,8,60000,6,8,300,0.25,15,15,"PHASE,HIDE_IN_CODEX","LD_bp,no_sell,no_bp_drop,no_autofit,restricted",,0.4,2,3,,
Butterfly,HSI_T_01_68,E.G.O,L Department,HSI_Burial,25,5000,600,10000,15000,750,150,1,90,100,80,30,60,650,PHASE,HSI_ButterflyDive,,,,0.02,0.025,90,150,120,40,2,15,9,120000,5,12,60,0.25,35,35,"PHASE,HIDE_IN_CODEX","LD_bp,no_sell,no_bp_drop,no_autofit,restricted",0,0.6,2,3,HSI_TravelJump,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Station#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J01,HSI_J01,Master,Halo Dynamics Ship Industry,,400,80000,2400,60000,2500,1200,1000,,10,2000,2000,3,3,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,50000000,10,0,2500,0,200,200,"UNBOARDABLE, HIDE_IN_CODEX,SHIP_WITH_MODULES","no_autofit,no_bp_drop,no_drop,no_dealer,no_sell,restricted,HSI_Juggernaut",,,,,HSI_TravelJump,
J01-Hangar,HSI_J01_Hangar,Hangar,Halo Dynamics Ship Industry,,1,20000,2400,25000,25000,1200,1000,8,0,0,0,10,10,3500,PHASE,HSI_LuminarFlow,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
J01-Front Fire Module L,HSI_J01_LF,Fire Module,Halo Dynamics Ship Industry,,1,20000,2200,15000,25000,1000,1000,,0,0,0,10,10,3500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
J01-Front Fire Module R,HSI_J01_RF,Fire Module,Halo Dynamics Ship Industry,,1,20000,2200,15000,25000,1000,1000,,0,0,0,10,10,3500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
J01-Back Fire Module L,HSI_J01_LB,Fire Module,Halo Dynamics Ship Industry,,1,20000,2000,15000,25000,1000,1000,,0,0,0,10,10,3500,PHASE,HSI_LuminarFlow,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
J01-Back Fire Module R,HSI_J01_RB,Fire Module,Halo Dynamics Ship Industry,,1,20000,2000,15000,25000,1000,1000,,0,0,0,10,10,3500,PHASE,HSI_LuminarFlow,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
J01-Main_Engine,HSI_J01_Engine,Engine,Halo Dynamics Ship Industry,,1,15000,1600,15000,20000,1000,1000,,0,0,0,10,10,3500,PHASE,HSI_EmergencyBarrier,,,,0.01,0,0,0,0,0,1,0,,500000,,1,,,0,0,"UNBOARDABLE, HIDE_IN_CODEX",HSI_Juggernaut,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
