id,trigger,conditions,script,text,options,notes
HSITraitor0,HSITraitor,,,,"HSITraitorTryToDeal1:""我也不想事情闹得那么难看。""",
HSITraitor1_1,DialogOptionSelected,"$option == HSITraitorTryToDeal1
!$faction.HSIFLLostToPlayer",,"""什么叫不想事情闹得那么难看呢， $playerName 阁下。袭击光环动力资产可不是什么小罪名，特别是对一位拿过好处的合作者而言。""","HSITraitorTryToDeal2:""也许我能带来更多的利益。""",
HSITraitor1_2,DialogOptionSelected,"$option == HSITraitorTryToDeal1
$faction.HSIFLLostToPlayer",,"""什么叫不想事情闹得那么难看呢， $playerName 阁下。袭击光环动力资产可不是什么小罪名，特别是对一位拿过好处的合作者而言，更别提那条被击沉的无畏舰了。""","HSITraitorTryToDeal2:""也许我能带来更多的利益。""",
HSITraitor2,DialogOptionSelected,$option == HSITraitorTryToDeal2,FireAll HSITraitorDealTurnOffOptions,"你好像听到有人笑了一下。但又好像是错觉。""多少利益呢。""","HSITraitorDeal1:""1,000,000星币。""
HSITraitorDeal2:""5,000,000星币。""
HSITraitorDeal3:""10,000,000星币。""
cutCommLink:离开",
HSITraitor3_1,DialogOptionSelected,$option == HSITraitorDeal1,FireAll HSITraitorDealTurnOffOptions,"""总得有点诚意吧，$playerName 阁下。""","HSITraitorDeal2:""5,000,000星币。""
HSITraitorDeal3:""10,000,000星币。""
cutCommLink:离开",
HSITraitor3_2,DialogOptionSelected,"$option == HSITraitorDeal2
!$faction.HSIFLLostToPlayer",HSISetPerson RemoveTraitor,"""5,000,000星币，成交。""",cutCommLink:离开,
HSITraitor3_3,DialogOptionSelected,"$option == HSITraitorDeal2
$faction.HSIFLLostToPlayer",FireAll HSITraitorDealTurnOffOptions,"""本来这些也就够了。但是算上那条无畏舰就不太够了。$playerName 阁下，那是另外的价钱。""","HSITraitorDeal3:""10,000,000星币。""
cutCommLink:离开",
HSITraitor3_4,DialogOptionSelected,$option == HSITraitorDeal3,HSISetPerson RemoveTraitor,"""10,000,000星币，成交。""",cutCommLink:离开,
,,,,,,
,,,,,,
HSITraitorTurnOff1M,HSITraitorDealTurnOffOptions,$player.credits < 1000000,SetEnabled HSITraitorDeal1 false,,,
HSITraitorTurnOff5M,HSITraitorDealTurnOffOptions,$player.credits < 5000000,SetEnabled HSITraitorDeal2 false,,,
HSITraitorTurnOff10M,HSITraitorDealTurnOffOptions,$player.credits < 10000000,SetEnabled HSITraitorDeal3 false,,,
,,,,,,
#StellaArena,,,,,,
HSISA_First,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSITC0Finished
!$global.HSISA_FCFinished
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSISA_FC:询问理事长这个看起来很精致的沙盘是什么,
HSISA_FC0,DialogOptionSelected,$option == HSISA_FC,ShowPersonVisual,"""这是我从各处收集来的藏品——的投影。和 Sagitta 学院的那台是一样的原理，能让人和模拟的敌人进行战斗。""",HSISA_FC1:我能用吗？,
HSISA_FC1,DialogOptionSelected,$option == HSISA_FC1,,"""可以。就当员工福利吧。如果表现足够亮眼的话，我也可以再给你一些好玩的奖品。""",HSISA_FC3:有点意思.,
HSISA_FC3,DialogOptionSelected,$option == HSISA_FC3,"$global.HSISA_FCFinished = true
$global.HSISACredits = 0
$global.HSISALevelTraining = 1
$global.HSISALevelHard = 1","""那不如我现在开始?""",HSISA_Join:访问群星竞技场,
HSISA_Greetings,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSISA_FCFinished
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner
",,,HSISA_Join:访问群星竞技场,
HSISA_Main,DialogOptionSelected,$option == HSISA_Join,FireAll HSISAOptions,,,
HSISA_Shop,HSISAOptions,,,,3:HSISA_ShopOpen:访问竞技场商店(你现在具有$global.HSISACredits点数),
HSISA_Battle,HSISAOptions,,,,1:HSISA_BattleOpen:进行训练模式挑战($global.HSISALevelTraining层),
HSISA_BattleHard,HSISAOptions,,,,2:HSISA_BattleOpenHard:进行挑战模式挑战($global.HSISALevelHard层),
HSISA_BattleAdventure,HSISAOptionsNN,,,,4:HSISA_BattleOpenAdventure:查看冒险模式挑战！,
HSISA_Leave,HSISAOptions,,,,6:HSISA_LeaveOpen:离开竞技场,
HSISA_ModeExplain,HSISAOptions,,,,5:HSISA_Explain:关于竞技场,
HSISA_ShopPage,DialogOptionSelected,$option == HSISA_ShopOpen,HSISAShop,"""看看你的奖励。""",,
HSISA_BattlePage,DialogOptionSelected,$option == HSISA_BattleOpen,HSISABattle Training,,,
HSISA_BattlePageHard,DialogOptionSelected,$option == HSISA_BattleOpenHard,HSISABattle Hard,,,
HSISA_LeavePage,DialogOptionSelected,$option == HSISA_LeaveOpen,FireAll PopulateOptions,你想起还有其他事要做，离开了竞技场。,,
HSISA_Explain,DialogOptionSelected,$option == HSISA_Explain,FireAll HSISAOptions,"训练模式:这个模式会自动生成规模逐渐增加的舰队，并按照正常对战的规则进行战斗。每3层能获得1点数。
挑战模式：这个模式下敌人舰队的质量会大幅增高。每层都能获得1点数。",,
HSISA_AdventureStatus,DialogOptionSelected,$option == HSISA_BattleOpenAdventure,HSISABattle ShowAdventureStatus,,,
HSISA_StartBattleAdventure,DialogOptionSelected,$option == HSISA_BattleStartAdventure,HSISABattle Adventure,,,
HSISA_PickedBuffAdventure,DialogOptionSelected,HSISABattle PickedBuffOption,HSISABattle AddBuff,,,
,,,,,,
,,,,,,
#HPSID,,,,,,
HSI_startTurnIn,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHPSIDOperator
!$faction.HSIisTraitor
$faction.id == HSI",,"""您好。安全部对外干员，有什么事?""","10:HSI_aiCores_startTurnIn:""我有一些ai核心...""
11:HSI_specialShip_startTurnIn:""我有一些罕见的舰船...""
13:HSI_surveyData_startTurnIn:""我有一些勘探数据...""",
HSI_startTurnInDenied,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHPSIDOperator
$faction.HSIisTraitor
$faction.id == HSI",FireAll PopulateOptions,"""没人会信任一个背后捅过刀子的人，$PlayerSirOrMadam。""",,
HSI_aiCores_disableTurnInOption,DisableTurnInCoresOptionIfNeeded,"$isPerson
AICores personCanAcceptCores
$faction.id == HSI score:1000","SetTooltip aiCores_startTurnIn ""你应该去找能接收这些东西的人。按照规定，这些物品不该由我处理。""
SetEnabled aiCores_startTurnIn false",,,
HSI_aiCores_turnInOptionSel,DialogOptionSelected,"$option == HSI_aiCores_startTurnIn
$faction.id == HSI",FireAll HSICoresTurnInOptions,"""你找对人了。我们很乐意回收这些危险物品。""",,
HSI_aiCores_playerHasOption,HSICoresTurnInOptions,,,AI核心据按照等级折算为5/10/20/40进度点数，同时也会影响关系。,0:HSI_aiCores_selectCores:选择提交的ai核心,
HSI_aiCores_neverMindOption,HSICoresTurnInOptions,,,,"100:aiCores_neverMind:""我其实没有ai核心。""",
HSI_aiCores_turnInOptionSelected,DialogOptionSelected,$option == HSI_aiCores_selectCores,HPSIDTurnIn AI_CORE selectCores,,,
HSI_aiCores_turnInResponse,HSIAICoresTurnedIn,,FireAll PopulateOptions,"干员 $personLastName 不动声色地收下了你提交的东西。""做的很好，我会向上级报告你的贡献。""",,
HSI_ships_turnInOptionSelected,DialogOptionSelected,$option == HSI_specialShip_startTurnIn,,"""这些舰船会根据舰船等级折算为15/30/45/60进度点数，并以原价购入，立刻到账。""","HSI_specialShip_startTurnInContinue:继续
HSI_specialShip_startTurnInBreak:换个话题",
HSI_ships_turnInOptionSelectedContinue,DialogOptionSelected,$option == HSI_specialShip_startTurnInContinue,HPSIDTurnIn SPECIAL_SHIP selectRareship,,,
HSI_ships_turnInOptionSelectedBreak,DialogOptionSelected,$option == HSI_specialShip_startTurnInBreak,FireAll PopulateOptions,,,
HSI_ships_turnInResponse,HSITurnedInRareShip,,FireAll PopulateOptions,"干员 $personLastName 打量了一下Tripad上的舰船状态。""做的很好。我们不会让你后悔的。""",,
HSI_surveydata_turnInOptionSelectedContinue,DialogOptionSelected,$option == HSI_surveyData_startTurnInContinue,HPSIDTurnIn SURVEY_DATA selectSurveyData,,,
HSI_surveydata_turnInOptionSelectedBreak,DialogOptionSelected,$option == HSI_surveyData_startTurnInBreak,FireAll PopulateOptions,,,
HSI_surveydata_turnInOptionSelected,DialogOptionSelected,$option == HSI_surveyData_startTurnIn,,勘探数据按照等级折算为2/4/7/11/15进度点数，同时也会影响关系。,"HSI_surveyData_startTurnInContinue:继续
HSI_surveyData_startTurnInBreak:换个话题",
HSI_surveydata_turnInResponse,HSISurveyDataTurnedIn,,FireAll PopulateOptions,"干员 $personLastName 敲打了几下Tripad。""做的很好。光环动力感谢你的勘探。""",,
,,,,,,
#HSIContractForge,,,,,,
HSI_Forge_Start,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHSIForgeContact
!$faction.HSIisTraitor
$faction.id == HSI",,"""您好，舰船工业和武器工业能承接各类舰船和武器生产。您可以看看我们的产品介绍。""",HSI_Forge_Pick:阅读产品清单,
HSI_Forge_Pick,DialogOptionSelected,$option == HSI_Forge_Pick,HSIContactForge,,,
HSI_Forge_Picked,HSIForgePicked,,"$option = HSI_Forge_out 0
FireBest DialogOptionSelected",,,
HSI_Forge_Out,DialogOptionSelected,$option == HSI_Forge_out,FireAll PopulateOptions,"""感谢惠顾。一般在六十日内就能完成生产，不提供包邮服务，请本人或持有有效证明的代理人到空间桥取货。""",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#HSI_TCEvent0,,,,,,
HSI_TC0Start,AddBarEvents,"!$global.HSITC0Started
!$global.HSITC0Finished
!$market.isHidden
RepIsAtWorst HSI COOPERATIVE","AddBarEvent HSI_TC0_BarEvent ""一位与酒吧显得格格不入的少女坐在角落里，不知为何，似乎没有人注意到她。"" ""拥挤的酒吧里，不知为何出现了一个突兀的冷清角落。"" 255，140，200，255",,,
HSI_TC0Event1,DialogOptionSelected,$option == HSI_TC0_BarEvent,"AddText ""你的到来成功地让她从tripad上移开目光。\""贵安， $playerName 阁下。看起来您终于注意到我了?\"""" 255，140，200，255
HSISetPerson TheCommissioner
ShowPersonVisual
$global.HSITC0Started = true",,"HSI_TC0_1_1:沉默
HSI_TC0_1_2:""很难想象您这样耀眼的女士会被人忽视。""",
HSI_TC0Event2_1,DialogOptionSelected,$option == HSI_TC0_1_1,"AddText ""\""请坐吧， $playerName 阁下，不必这么拘谨。\"""" 255，140，200，255",,HSI_TC0_2:坐下,
HSI_TC0Event2_2,DialogOptionSelected,$option == HSI_TC0_1_2,"AddText ""\""我可没想到您会这么油嘴滑舌。\""你仿佛看见她笑了一下，又好像是错觉。\""请坐吧， $playerName 阁下，不必这么……我觉得您倒也称不上拘谨。\"""" 255，140，200，255",,HSI_TC0_2:坐下,
HSI_TC0Event3,DialogOptionSelected,$option == HSI_TC0_2,"AddText ""她的邀请似乎有某种魔力，你顺势坐在她对面。她在tripad上点了几下。\""我找上您单纯只是因为好奇。开诚布公的说，您很有趣。\"""" 255，140，200，255",,"HSI_TC0_3_1:""我可不觉得自己有趣。""
HSI_TC0_3_2:""嗯……我确实很有趣。""",
HSI_TC0Event4_1,DialogOptionSelected,$option == HSI_TC0_3_2,"AddText ""\""那我大可以多夸夸您。不过，我还是想试一试您的能力。\""她推来一张晶片。\""这是一点见面礼。\""她顿了顿，把手边放着的一杯酒推给了你，\""我希望您的实力能和您的口才一样好。\"""" 255，140，200，255",,"HSI_TC0_4_1:接下晶片
HSI_TC0_4_2:""我想我不是很感兴趣。""",
HSI_TC0Event_2,DialogOptionSelected,$option == HSI_TC0_3_1,"AddText ""\""您要是愿意，我可以慢慢和您讲。不过，我还是想试一试您的能力。\""她推来一张晶片。\""这是一点见面礼。\""她把手边的酒倒进两个空杯里，自己抿了一口，把另一杯推给了你。\""希望下次见面时，您不必如此戒备。\"""" 255，140，200，255",,"HSI_TC0_4_1:接下晶片
HSI_TC0_4_2:""我想我不是很感兴趣。""",
HSI_TC0Fight,DialogOptionSelected,$option == HSI_TC0_4_1,HSITCEventFight TC0,,,
HSI_TC0Leave,DialogOptionSelected,$option == HSI_TC0_4_2,"AddText ""对方没有再说话。"" 255，140，200，255
BarCMD returnFromEvent false",,,
HSI_TC0End,DialogOptionSelected,$option == HSI_TC0_End,"AddText ""你骤然恍惚了一下。等你回过神来，对方已经不见了。你的Tripad上提示有一笔信用点转入，和一条奇怪的未读消息。奇怪……"" 255，140，200，255
$global.HSITC0Finished = true",,"backToBar:""请来空间桥面谈……这是什么意思？""",
,,,,,,
#HSI_TCEvent1,,,,,,
HSI_TC1_Start,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSITC0Finished
!$global.HSITC1Accepted
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSI_TC1_1:理事长正在等你。,
HSI_TC1_1,DialogOptionSelected,$option == HSI_TC1_1,"AddText ""\""贵安 ， $playerName 阁下。\""理事长坐在窗边。这里可能是空间桥上视野最好的舱室之一，她的背后正是庞大的Intrusion。你盯着那片巨大的幽暗，即使对最老练的太空人来说也是极为不安的存在。\n\""我不建议您继续盯着它看，事件视界确实是很有魔力的东西。，看多了也许会导致黑洞恐惧症。\""理事长的声音从背后响起。你吃了一惊，发现不知何时她已经不在座位上了。\""抱歉，让您久等了。\"""" 255，140，200，255
$global.HSITC1Accepted = true",,HSI_TC1_2:摇头。,
HSI_TC1_2,DialogOptionSelected,$option == HSI_TC1_2,"AddText ""\""您上次做的很好，所以这次我想请您帮一个忙。\""她望着你，\""从上次的测试来看，您完全没有受到影响，这非常罕见。\"""" 255，140，200，255",,"HSI_TC1_3_1:""测试？""
HSI_TC1_4_1:""可以，说吧。""
HSI_TC1_4_2:""除非你说明白，否则我不会接受这种含糊其辞的委托。""",
HSI_TC1_3_1,DialogOptionSelected,$option == HSI_TC1_3_1,"AddText ""\""总之不是什么大事…… $playerName 阁下，还是不要问为好。\"""" 255，140，200，255",,"HSI_TC1_4_1:""好吧，请说吧。""
HSI_TC1_3_2:""我不打算做不明不白的委托。""",
HSI_TC1_3_2,DialogOptionSelected,$option == HSI_TC1_3_2,"AddText ""理事长微微蹙眉。\""真是难缠呢， $playerName 阁下。\""她指向窗外的Intrusion，\""正如我们之前说到的，有些东西会影响人的心智。您上次见过了它，您没受影响，您也不会受到它同类的影响。并不是每个人都有这种天赋的。\"""" 255，140，200，255",,"HSI_TC1_4_1:""说说你的委托。""
HSI_TC1_4_2:""我对猜谜不感兴趣。""",
HSI_TC1_4_1,DialogOptionSelected,$option == HSI_TC1_4_1,"AddText ""\""回收一份特殊存在，我不知道它具体是什么样子。\""理事长说道，\""我只知道它非常虚弱——想必您的能力足够控制它。我恰好抽不出身，只能拜托您了。坐标会发送到你的TriPad上，它似乎并不具备转移的能力。\"""" 255，140，200，255",,"HSI_TC1_5_1:""好吧，替你跑一趟。""",
HSI_TC1_4_2,DialogOptionSelected,$option == HSI_TC1_4_2,"AddText ""理事长思考良久，最终说道：\""是我冒昧了。请回吧，$playerName 阁下。\"""" 255，140，200，255",,cutCommLink:离开她的办公室,
HSI_TC1_5_1,DialogOptionSelected,$option == HSI_TC1_5_1,"AddText ""\""谢谢您，$playerName 阁下。不过……正如您上次见到的那样。大部分特殊存在都相当灵敏且诡异。尽管有些冒昧，还是希望您安全为上。\""她拿出一个小巧的通讯器：\""遇到突发情况的话，请及时联系我。\"""" 255，140，200，255
HSITC1Orders ShowMap",,cutCommLink:接过通讯器,
HSI_TC1_6,OpenInteractionDialog,"$HSI_TC1_MeetTheKnight score:1000
!$global.HSITC1Finished","ShowDefaultVisual
FireBest HSITC1MeetTheKnight
$HSI_TC1_MeetTheKnight = false","你的$shipOrFleet接近了这片残骸区。

一条不败-级无畏舰和更多的小型舰船失去了动力，漂浮在真空中。",,
HSI_TC1_6_MeetTheKnight,HSITC1MeetTheKnight,,,,HSI_TC1_7:命令传感器技师分析残骸,
HSI_TC1_7,DialogOptionSelected,$option == HSI_TC1_7,,"传感器技师花了相当长的时间才面色古怪地向你报告。显然他正在努力说服自己：""从涂装、徽记、以及舰队构成上来看，这是同一支卢德骑士舰队。""

卢德教会的这些无畏舰通常不会被随意遗弃——周围的残骸更说明了这里曾经有一场大战。传感器技师报告说没有能量读数反应，这条不败完全是空壳——尚不清楚一支这种规模的卢德骑士舰队在与什么对象交火中蒙受了如此巨大的损失。",HSI_TC1_8:接近无畏舰,
HSI_TC1_8,DialogOptionSelected,$option == HSI_TC1_8,,"你小心翼翼地接近了这条废弃的巨舰。放大之后，你和传感器技师对视了一眼，两人都觉得这种损伤有什么地方不对。舰桥里弥漫着诡异的沉默。最终行动组长开口说：""长官，你觉不觉得这些痕迹不太像能量武器?""

你点了点头。显然这些舰船装甲上的烧灼痕迹是高爆武器留下的。传感器技师开始仔细分析这些残骸的损伤模式。鉴于目前的形势，你有理由怀疑这些残骸和舰队本身有关。

你们在轨道上环绕了数个小时，传感器技师带来了他的最终结论：无畏舰与舰队的其余舰船相互攻击导致全军覆没。",HSI_TC1_9:准备登船,
HSI_TC1_9,DialogOptionSelected,$option == HSI_TC1_9,"HSISetPerson Knight
ShowPersonVisual","你决定直接从舰桥附近登陆，然后直接进入舰桥，或许那里还有能恢复运作的传感器。

在你进入舰桥的时候，你看到了一抹身影。显然其他军官和陆战队员并没有看到这一幕，但你还是叫停了他们。",HSI_TC1_10:打开通讯器,
HSI_TC1_10,DialogOptionSelected,$option == HSI_TC1_10,,"通讯器几乎立刻接通了。你举起通讯器——并期望这玩意应该不只是个通讯器。""能看见吗?""

""能的。看起来……一位骑士。""你感觉对方的语气似乎非常轻松，""有点意料之外，还算好处理。我相信您能靠着口才自行解决的，$playerName 阁下。""",HSI_TC1_11:尝试交流,
HSI_TC1_11,DialogOptionSelected,$option == HSI_TC1_11,,"一位卢德骑士，宣誓捍卫卢德的教义。遵从教会的指令，清除摩洛克的造物，以剑与锤捍卫卢德的精神。

努力守护卢德教众，清理异端和邪恶造物。在数十年间，伴随着赫赫战功，疑问也日益加深。是否所有的邪恶造物都会泯灭人的精神？在漫长的征战岁月里，并非所有异端都如主教们说的那样，被机器夺去了灵魂。在这片行将就木的星域，有太多不借助机器就会被自然杀死的地方。

不安随着调查加深，怀疑的阴云涌动着。现实与信仰摩擦，它始终无法和同僚一样灵活处理自己面对的事实。

绝望吞噬了骑士。

""我其实没想过这个时代还会有这样的信徒。""通讯器又响了起来，""也没想过还会有这样的骑士。或许等您回来可以给您一些旧地球的文学作品，偶尔也会有这样的人物出现。""","HSI_TC1_12:""我觉得现在的重点是接下去怎么做。""",
HSI_TC1_12,DialogOptionSelected,$option == HSI_TC1_12,"SetStoryOption HSI_TC1_13_1 general ""说服骑士还有可守护的人。""","""最简单的办法，说服它守护您。""

""你最好确定没什么副作用。""

""通常来说……副作用也不是您该考虑的事了。不过为了避免额外的麻烦，您以后可别死了。""你似乎听出了一丝揶揄。现在该做决定了。
","HSI_TC1_13_1:说服骑士还有可守护的人。
HSI_TC1_13_2:说服骑士她是受蒙蔽的。",
HSI_TC1_13_1,DialogOptionSelected,$option == HSI_TC1_13_1,,"你向骑士反复陈明它做的没错。至少不是它的错，而是那些主教——与它的同行相比，它才是一位真正的骑士。

直到你说到它还有可守护的人，骑士终于抬起了头。""名字。""你听到它说。

你在迟疑，但是并没有什么破局的办法。通讯器里似乎传来了一声响动。你突然决定赌一把。","HSI_TC1_14_1:""$playerName。""",
HSI_TC1_13_2,DialogOptionSelected,$option == HSI_TC1_13_2,,"你向骑士反复陈明它做的没错。至少不是它的错，而是那些主教——与它的同行相比，它才是一位真正的骑士。

直到你说到它是受人蒙蔽，骑士终于抬起了头。""名字。""你听到它说。

你在迟疑，但是并没有什么破局的办法。通讯器里似乎传来了一声响动。你突然决定赌一把。","HSI_TC1_14_2:""$playerName。""",
HSI_TC1_14_1,DialogOptionSelected,$option == HSI_TC1_14_1,"AddText ""\""我将守护你。\""你听见骑士这样说。"" 110，110，250，255
HSITC1Orders GenKnight_SP
AddText ""\""嗯……皆大欢喜？\""沉默了很久的通讯器又响了起来，你发现自己没有关掉它。很难想象另一头的理事长以什么表情听完了你的表演。你迅速关掉了它。"" 110，110，250，255
$global.HSITC1Finished = true
HSITC1Orders ClearImportant HSI_TC1_MeetTheKnight
$player.KnownByTheCommissioner = true",,defaultLeave:该离开这里了,
HSI_TC1_14_2,DialogOptionSelected,$option == HSI_TC1_14_2,"AddText ""\""我将守护你。\""你听见骑士这样说。"" 110，110，250，255
HSITC1Orders GenKnight
AddText ""\""嗯……皆大欢喜？\""沉默了很久的通讯器又响了起来，你发现自己没有关掉它。很难想象另一头的理事长以什么表情听完了你的表演。你迅速关掉了它。"" 110，110，250，255
$global.HSITC1Finished = true
HSITC1Orders ClearImportant HSI_TC1_MeetTheKnight
$player.KnownByTheCommissioner = true",,defaultLeave:该离开这里了,
,,,,,,
#HSITC1_后日谈,,,,,,
HSI_TC1_A_0,PopulateOptions,"$global.HSITC1Finished
!$global.HSITC1AFinished
$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSI_TC1_A_1:你依稀记得上次来接你的并不是这位秘书……,
HSI_TC1_A_1,DialogOptionSelected,$option == HSI_TC1_A_1,,"""$playerName $PlayerSirOrMadam ，请您带上回收的实体和我来。""
你花了几秒反应过来所谓的""实体""是指骑士。你命令骑士跟在你身后，随后跟上了那位秘书。",HSI_TC1_A_2:观察四周……,
HSI_TC1_A_2,DialogOptionSelected,$option == HSI_TC1_A_2,,"虽然已经有一段时间没来了，你还是觉得自己今天走的路线有点过于安静了。

这位秘书带着你们穿过了一条稍显曲折的走廊，你感觉自己的记忆出现了偏差。",HSI_TC1_A_3:上次有走过这个转角吗？,
HSI_TC1_A_3,DialogOptionSelected,$option == HSI_TC1_A_3,,最终你们在一扇熟悉的门前停下。秘书没有敲门，而是直接推开了门，示意你们进去。,HSI_TC1_A_4:也许只是业务生疏……,
