id,trigger,conditions,script,text,options,notes
HSITraitor1_1,DialogOptionSelected,"$option == HSITraitorTryToDeal1
!$faction.HSIFLLostToPlayer",,"""What do you mean by not wanting things to get ugly, Captain $playerName? Attacking Halo Dynamics assets is no small offense, especially for a collaborator to whom we have given benefits.""","HSITraitorTryToDeal2:""Perhaps I can bring even more profit.""",
HSITraitor1_2,DialogOptionSelected,"$option == HSITraitorTryToDeal1
$faction.HSIFLLostToPlayer",,"""What do you mean by not wanting things to get ugly, Captain $playerName? Attacking Halo Dynamics assets is no small offense, especially for a collaborator to whom we have given benefits, not to mention the sinking of a dreadnought.""","HSITraitorTryToDeal2:""Perhaps I can bring even more profit.""",
HSITraitor2,DialogOptionSelected,$option == HSITraitorTryToDeal2,FireAll HSITraitorDealTurnOffOptions,"You almost think you hear a laugh, but it might be your imagination.""How much profit?""","HSITraitorDeal1:""1,000,000 credits.""
HSITraitorDeal2:""5,000,000 credits.""
HSITraitorDeal3:""10,000,000 credits.""
cutCommLink:Leave",
HSITraitor3_1,DialogOptionSelected,$option == HSITraitorDeal1,FireAll HSITraitorDealTurnOffOptions,"""You have to be sincere, Captain $playerName.""","HSITraitorDeal2:""5,000,000 credits.""
HSITraitorDeal3:""10,000,000 credits.""
cutCommLink:Leave",
HSITraitor3_2,DialogOptionSelected,"$option == HSITraitorDeal2
!$faction.HSIFLLostToPlayer",HSISetPerson RemoveTraitor,"""5,000,000 credits, deal.""",cutCommLink:Leave,
HSITraitor3_3,DialogOptionSelected,"$option == HSITraitorDeal2
$faction.HSIFLLostToPlayer",FireAll HSITraitorDealTurnOffOptions,"""That may have been enough. But it is not enough to account for the dreadnought. Captain $playerName, that would be another cost.""","HSITraitorDeal3:""10,000,000 credits.""
cutCommLink:Leave",
HSITraitor3_4,DialogOptionSelected,$option == HSITraitorDeal3,HSISetPerson RemoveTraitor,"""10,000,000 credits, deal.""",cutCommLink:Leave,
,,,,,,
,,,,,,
HSITraitorTurnOff1M,HSITraitorDealTurnOffOptions,$player.credits < 1000000,SetEnabled HSITraitorDeal1 false,,,
HSITraitorTurnOff5M,HSITraitorDealTurnOffOptions,$player.credits < 5000000,SetEnabled HSITraitorDeal2 false,,,
HSITraitorTurnOff10M,HSITraitorDealTurnOffOptions,$player.credits < 10000000,SetEnabled HSITraitorDeal3 false,,,
,,,,,,
#StellaArena,,,,,,
HSISA_First,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSITC0Finished
!$global.HSISA_FCFinished
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSISA_FC:Inquire with the Director about the nature of this detailed simulation display.,
HSISA_FC0,DialogOptionSelected,$option == HSISA_FC,ShowPersonVisual,"""It operates on the same principles as the system used at Sagitta Academy, enabling user to fight simulated enemies.""",HSISA_FC1:May I use it?,
HSISA_FC1,DialogOptionSelected,$option == HSISA_FC1,,"""Certainly. Think of it as one of the benefits of working with us. Do well, and I'll even throw in some fun rewards. """,HSISA_FC3:Interesting.,
HSISA_FC3,DialogOptionSelected,$option == HSISA_FC3,"$global.HSISA_FCFinished = true
$global.HSISACredits = 0
$global.HSISALevelTraining = 1
$global.HSISALevelHard = 1","""Why don't I start now?""",HSISA_Join:Visit the Stella Arena,
HSISA_Greetings,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSISA_FCFinished
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner
",,,HSISA_Join:Visit the Stella Arena,
HSISA_Main,DialogOptionSelected,$option == HSISA_Join,FireAll HSISAOptions,,,
HSISA_Shop,HSISAOptions,,,,3:HSISA_ShopOpen:Visit the arena store (You currently have $global.HSISACredits points),
HSISA_Battle,HSISAOptions,,,,1:HSISA_BattleOpen:Take on a Practice Mode Challenge ($global.HSISALevelTraining Level),
HSISA_BattleHard,HSISAOptions,,,,2:HSISA_BattleOpenHard:Take on a Hard Mode Challenge ($global.HSISALevelHard Level),
HSISA_BattleAdventure,HSISAOptionsNN,,,,4:HSISA_BattleOpenAdventure:Check out the Adventure Mode Challenges!,
HSISA_Leave,HSISAOptions,,,,6:HSISA_LeaveOpen:Leave the arena,
HSISA_ModeExplain,HSISAOptions,,,,5:HSISA_Explain:About the Stella Arena,
HSISA_ShopPage,DialogOptionSelected,$option == HSISA_ShopOpen,HSISAShop,"""Look at your rewards.""",,
HSISA_BattlePage,DialogOptionSelected,$option == HSISA_BattleOpen,HSISABattle Training,,,
HSISA_BattlePageHard,DialogOptionSelected,$option == HSISA_BattleOpenHard,HSISABattle Hard,,,
HSISA_LeavePage,DialogOptionSelected,$option == HSISA_LeaveOpen,FireAll PopulateOptions,You remember that you have other things to do and leave the arena.,,
HSISA_Explain,DialogOptionSelected,$option == HSISA_Explain,FireAll HSISAOptions,"Training Mode: This mode pits you against progressively larger fleets based on normal matchmaking rules. Earn 1 point every 3 levels.
Hard Mode: This mode features significantly higher quality enemy fleets. Gain 1 point per level.",,
HSISA_AdventureStatus,DialogOptionSelected,$option == HSISA_BattleOpenAdventure,HSISABattle ShowAdventureStatus,,,
HSISA_StartBattleAdventure,DialogOptionSelected,$option == HSISA_BattleStartAdventure,HSISABattle Adventure,,,
HSISA_PickedBuffAdventure,DialogOptionSelected,HSISABattle PickedBuffOption,HSISABattle AddBuff,,,
,,,,,,
,,,,,,
#HPSID,,,,,,
HSI_startTurnIn,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHPSIDOperator
!$faction.HSIisTraitor
$faction.id == HSI",,"""Hello. Security Department External Operator, how may I be of service?""","10:HSI_aiCores_startTurnIn:""I have these AI cores...""
11:HSI_specialShip_startTurnIn:""I have these rare ships...""
13:HSI_surveyData_startTurnIn:""I have some Survey Data...""",
HSI_startTurnInDenied,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHPSIDOperator
$faction.HSIisTraitor
$faction.id == HSI",FireAll PopulateOptions,"""No one trusts someone who has stabbed them in the back, $PlayerSirOrMadam。""",,
HSI_aiCores_disableTurnInOption,DisableTurnInCoresOptionIfNeeded,"$isPerson
AICores personCanAcceptCores
$faction.id == HSI score:1000","SetTooltip aiCores_startTurnIn ""You should find someone else who can take these. Regulations forbid me from handling them.""
SetEnabled aiCores_startTurnIn false",,,
HSI_aiCores_turnInOptionSel,DialogOptionSelected,"$option == HSI_aiCores_startTurnIn
$faction.id == HSI",FireAll HSICoresTurnInOptions,"""You've come to the right person. We will be happy to take these dangerous items off you.""",,
HSI_aiCores_playerHasOption,HSICoresTurnInOptions,,,"AI cores are converted to 5/10/20/40 progress points according to their level, while also affecting relationships.",0:HSI_aiCores_selectCores:Select AI cores to turn in,
HSI_aiCores_neverMindOption,HSICoresTurnInOptions,,,,"100:aiCores_neverMind:""Never mind, I don't actually have any.""",
HSI_aiCores_turnInOptionSelected,DialogOptionSelected,$option == HSI_aiCores_selectCores,HPSIDTurnIn AI_CORE selectCores,,,
HSI_aiCores_turnInResponse,HSIAICoresTurnedIn,,FireAll PopulateOptions,"Operator $personLastName accepts your submission without a word. ""Well done, I will report your contribution to my superiors.""",,
HSI_ships_turnInOptionSelected,DialogOptionSelected,$option == HSI_specialShip_startTurnIn,,"""These ships will be converted to 15/30/45/60 progress points based on ship class, and will be purchased at their base price, credited to your account immediately.""","HSI_specialShip_startTurnInContinue:Proceed
HSI_specialShip_startTurnInBreak:Change the subject",
HSI_ships_turnInOptionSelectedContinue,DialogOptionSelected,$option == HSI_specialShip_startTurnInContinue,HPSIDTurnIn SPECIAL_SHIP selectRareship,,,
HSI_ships_turnInOptionSelectedBreak,DialogOptionSelected,$option == HSI_specialShip_startTurnInBreak,FireAll PopulateOptions,,,
HSI_ships_turnInResponse,HSITurnedInRareShip,,FireAll PopulateOptions,"Operator $personLastName looks up the status of the ship on a Tripad. ""Well done. You won't regret this.""",,
HSI_surveydata_turnInOptionSelectedContinue,DialogOptionSelected,$option == HSI_surveyData_startTurnInContinue,HPSIDTurnIn SURVEY_DATA selectSurveyData,,,
HSI_surveydata_turnInOptionSelectedBreak,DialogOptionSelected,$option == HSI_surveyData_startTurnInBreak,FireAll PopulateOptions,,,
HSI_surveydata_turnInOptionSelected,DialogOptionSelected,$option == HSI_surveyData_startTurnIn,,"Exploration data is converted into 2/4/7/11/15 progress points according to level, while also affecting relationships.","HSI_surveyData_startTurnInContinue:Proceed
HSI_surveyData_startTurnInBreak:Change the subject",
HSI_surveydata_turnInResponse,HSISurveyDataTurnedIn,,FireAll PopulateOptions,"Operator $personLastName taps a Tripad a few times. ""Well done. Halo Dynamics thanks you for your exploration.""",,
,,,,,,
#HSIContractForge,,,,,,
HSI_Forge_Start,PopulateOptions,"$isPerson
HSIPersonIdentityCheck PersonIsHSIForgeContact
!$faction.HSIisTraitor
$faction.id == HSI",,"""Hello, our shipbuilding and weapons industries is capable of producing a wide range of ships and weapons. Feel free to browse our product catalog.""",HSI_Forge_Pick:Browse product catalog,
HSI_Forge_Pick,DialogOptionSelected,$option == HSI_Forge_Pick,HSIContactForge,,,
HSI_Forge_Picked,HSIForgePicked,,"$option = HSI_Forge_out 0
FireBest DialogOptionSelected",,,
HSI_Forge_Out,DialogOptionSelected,$option == HSI_Forge_out,FireAll PopulateOptions,"""Thank you for your order. Production is usually completed within 60 days. Shipping is not included, please collect your order in person or via a representative with a valid certificate at the Space Bridge.""",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#HSI_TCEvent0,,,,,,
HSI_TC0Start,AddBarEvents,"!$global.HSITC0Started
!$global.HSITC0Finished
!$market.isHidden
RepIsAtWorst HSI COOPERATIVE","AddBarEvent HSI_TC0_BarEvent ""A young girl sat in a corner, looking out of place in a bar. No one seemed to notice her."" ""In the crowded bar, for some reason, a quiet corner abruptly appeared."" 255,140,200,255",,,
HSI_TC0Event1,DialogOptionSelected,$option == HSI_TC0_BarEvent,"AddText ""Your approach manages to divert her gaze from her Tripad. \""How do you do, Captain $playerName. It seems like you've finally noticed me.\"""" 255,140,200,255
HSISetPerson TheCommissioner
ShowPersonVisual
$global.HSITC0Started = true",,"HSI_TC0_1_1:Say nothing
HSI_TC0_1_2:""It's hard to imagine a lady as dazzling as yourself being ignored.""",
HSI_TC0Event2_1,DialogOptionSelected,$option == HSI_TC0_1_1,"AddText ""\""Have a seat, Captain $playerName. There's no need for reservations.\"""" 255,140,200,255",,HSI_TC0_2:Sit,
HSI_TC0Event2_2,DialogOptionSelected,$option == HSI_TC0_1_2,"AddText ""\""I didn't expect you to be such a sweet talker.\"" You seem to see her smile, but it is gone as soon as it appeared. \""Have a seat, Captain $playerName, there's no need to be so... I believe you'd dislike formality.\"""" 255,140,200,255",,HSI_TC0_2:Sit,
HSI_TC0Event3,DialogOptionSelected,$option == HSI_TC0_2,"AddText ""Her invitation seemed to have some kind of charm, and you ease into a seat opposite her. She taps her Tripad a few times. \""I looked for you purely out of curiosity. To be honest, you are very interesting.\"""" 255,140,200,255",,"HSI_TC0_3_1:""I don't find myself interesting.""
HSI_TC0_3_2:""Well... I am indeed very interesting.""",
HSI_TC0Event4_1,DialogOptionSelected,$option == HSI_TC0_3_2,"AddText ""\""Then I could have praised you more. However, I'd still like a test of your abilities.\"" She pushes a chip towards you. \""This is a little greeting gift.\"" She pauses and pushes the glass of wine that was by her hand to you, \""I hope you are as strong as you are eloquent.\"""" 255,140,200,255",,"HSI_TC0_4_1:Take the chip
HSI_TC0_4_2:""I don't think it really interests me.""",
HSI_TC0Event_2,DialogOptionSelected,$option == HSI_TC0_3_1,"AddText ""\""If you would like, we can talk about it at length. However, I'd still like a test of your abilities.\"" She pushes a chip towards you. \""This is a little greeting gift.\"" She pours the wine by her hand into two empty glasses, takes a sip from one, and pushes the other to you. \""I hope you that next time we meet, you won't be so guarded.\"""" 255,140,200,255",,"HSI_TC0_4_1:Take the chip
HSI_TC0_4_2:""I don't think it really interests me.""",
HSI_TC0Fight,DialogOptionSelected,$option == HSI_TC0_4_1,HSITCEventFight TC0,,,
HSI_TC0Leave,DialogOptionSelected,$option == HSI_TC0_4_2,"AddText ""The other party said nothing more."" 255,140,200,255
BarCMD returnFromEvent false",,,
HSI_TC0End,DialogOptionSelected,$option == HSI_TC0_End,"AddText ""Your senses slip away for a moment, and when you snap out of it, the other person is gone. Your Tripad prompts you of a credit transfer, and an odd unread message. Strange..."" 255,140,200,255
$global.HSITC0Finished = true",,"backToBar:""Please come to the Space Bridge for a talk... What does this mean?""",
,,,,,,
#HSI_TCEvent1,,,,,,
HSI_TC1_Start,PopulateOptions,"$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$global.HSITC0Finished
!$global.HSITC1Accepted
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSI_TC1_1:The Director is waiting for you.,
HSI_TC1_1,DialogOptionSelected,$option == HSI_TC1_1,"AddText ""\""Greetings, Captain, $playerName.\"" The Director sat by the window, in a cabin with what may be one of the best views on the space bridge. Behind her lay the yawning gulf of Intrustion. Your eyes meet its unending blackness, unsettling even for the most seasoned spacefarers.\n\""I wouldn't recommend staring at it for too long. The event horizon truly is a fascinating phenomenon, but prolonged observation might trigger a fear of black holes.\"" You hear the Director's voice behind you. Startled, you turn, surprised to find her no longer in her seat. \""Sorry to keep you waiting.\"""" 255,140,200,255
$global.HSITC1Accepted = true",,HSI_TC1_2:Shake your head.,
HSI_TC1_2,DialogOptionSelected,$option == HSI_TC1_2,"AddText ""\""You did a good job last time, so this time, I'd like you to help me with something.\"" She takes a look at you, \""The previous test had no effect on you, which is very rare.\"""" 255,140,200,255",,"HSI_TC1_3_1:""Test?""
HSI_TC1_4_1:""Okay, tell me.""
HSI_TC1_4_2:""I'll need a clear explanation before I can accept such a vague commission.""",
HSI_TC1_3_1,DialogOptionSelected,$option == HSI_TC1_3_1,"AddText ""\""It's not a big deal... Captain $playerName, it's better not to ask.\"""" 255,140,200,255",,"HSI_TC1_4_1:""Okay, go ahead and tell me.""
HSI_TC1_3_2:""I don't intend to take vague commissions.""",
HSI_TC1_3_2,DialogOptionSelected,$option == HSI_TC1_3_2,"AddText ""The Director frowned slightly. \""You're not making this easy, Captain $playerName.\"" She points towards Intrustion outside the window, \""As we've spoken of before, certain phenomena can influence the human mind. You looked at it, yet remained unaffected, and you won't be affected by similar phenomena either. This isn't an aptitude everyone possesses.\"""" 255,140,200,255",,"HSI_TC1_4_1:""Tell me about your commission.""
HSI_TC1_4_2:""I am not fond of riddles.""",
HSI_TC1_4_1,DialogOptionSelected,$option == HSI_TC1_4_1,"AddText ""\""Recover a special entity. I don't know exactly what it looks like.\""The Director said,\""I only know it's very weak — you should be capable enough to control it. I cannot spare the time, so I can only ask this of you. The coordinates will be sent to your Tripad. It does not seem to be able to move from its location.\"""" 255,140,200,255",,"HSI_TC1_5_1:""Okay, I'll make the trip for you.""",
HSI_TC1_4_2,DialogOptionSelected,$option == HSI_TC1_4_2,"AddText ""After a long pause, the Director finally said: \""I was being presumptuous. Please return, Captain $playerName.\"""" 255,140,200,255",,cutCommLink:Leave her office,
HSI_TC1_5_1,DialogOptionSelected,$option == HSI_TC1_5_1,"AddText ""\""Thank you, Captain $playerName. However... as you have seen, most special existences highly sensitive and peculiar. Although presumptuous of me, I hope for your safety.\"" She takes out a small communicator: \""Should an unexpected situation occur, contact me immediately.\"""" 255,140,200,255
HSITC1Orders ShowMap",,cutCommLink:Take the communicator,
HSI_TC1_6,OpenInteractionDialog,"$HSI_TC1_MeetTheKnight score:1000
!$global.HSITC1Finished","ShowDefaultVisual
FireBest HSITC1MeetTheKnight
$HSI_TC1_MeetTheKnight = false","Your $shipOrFleet approaches the debris field.

An Invictus-class dreadnought and several smaller ships float powerlessly in the vacuum of space.",,
HSI_TC1_6_MeetTheKnight,HSITC1MeetTheKnight,,,,HSI_TC1_7:Order sensor technicians to analyze the wreckage,
HSI_TC1_7,DialogOptionSelected,$option == HSI_TC1_7,,"The sensor technician eventually reported to you, wearing a puzzled expression. He speaks, clearly struggling to convince himself: ""The paint scheme, insignia, and fleet composition all indicate that this was the same Luddic Knight fleet.""

The dreadnoughts of the Luddic Church aren't typically abandoned without cause — the surrounding wreckage suggests a major battle took place here. Sensor technicians reported no energy readings, and the Invictus is completely empty — it is unclear what could have caused a Luddic Knight fleet of this size to incur such heavy losses in combat.",HSI_TC1_8:Approach the dreadnought,
HSI_TC1_8,DialogOptionSelected,$option == HSI_TC1_8,,"You carefully approach the derelict megaship. pon closer inspection, you and the sensor technician exchange uneasy glances, both feeling that something is off about this damage. An eerie silence settles over the bridge. Finally, the operations leader speaks: ""Captain, these don't quite look like energy weapon traces, do they?""

You nod in agreement. The scorch marks on the ships' armor were clearly caused by high explosive weapons. The sensor technicians begin to carefully analyze the damage patterns of these wrecks. Considering the circumstances, you have reason to suspect that the wreckage is related to the fleet itself.

After circling in orbit for several hours, the sensor technician returned with his final conclusion: the dreadnought and the rest of the fleet turned on each other, leading to mutual destruction.",HSI_TC1_9:Prepare to board,
HSI_TC1_9,DialogOptionSelected,$option == HSI_TC1_9,"HSISetPerson Knight
ShowPersonVisual","You decide to land close to the bridge and head straight for it, hoping to reactivate any sensors that might still be functional.

As you enter the bridge, you catch sight of a figure. Although none of the officers and marines seemed to notice, you stopped them anyway.",HSI_TC1_10:Take out the communicator,
HSI_TC1_10,DialogOptionSelected,$option == HSI_TC1_10,,"The communicator connects almost instantly. You hold it up — half-expecting it to be capable of more than just communication.""Do you see it?""

""Yes. It looks like... a knight.""You sense the other party being unusually relaxed, ""It's a bit unexpected, but nothing unmanageable. I'm confident your eloquence will get you through it., Captain $playerName.""",HSI_TC1_11:Try to communicate,
HSI_TC1_11,DialogOptionSelected,$option == HSI_TC1_11,,"A Luddic Knight, pledged to uphold the teachings of Ludd. Obedient to orders of the Church, eradicator of Moloch's creations, and defender of the spirit of Ludd with sword and hammer.

Stalwart guardian of the Luddic faithful, and purger of heretics and evil creations. Over the decades, even as great victories were won, so too did doubt. Do all evil creations destroy the human spirit? During the long years of war, not all heretics had their souls taken by the machines, as the bishops had said. In a sector on the brink of collapse, death lurked in many places, independent of the machines.

The deeper the inquiry, the more uncertainty and doubt surfaced. Faith clashed with reality, and it was never able to be as flexible as its peers in dealing with the facts it faced.

Despair consumed the knight.

""I didn't think anyone still held those beliefs in this day and age."" The communicator sounded again, ""Neither did I think there would be such a knight. Maybe when you return, I can share some old Earth literature with you, where such characters occasionally appear.""","HSI_TC1_12:""I believe the main issue now is deciding our next move.""",
HSI_TC1_12,DialogOptionSelected,$option == HSI_TC1_12,"SetStoryOption HSI_TC1_13_1 general ""Convince the knight that there are still people to protect.""","""The simplest method is to persuade it to act as your guardian.""

""You better be sure there are no side effects.""

""Generally speaking... side effects are not something you should consider. But to prevent unforeseen issues, you should avoid dying in future."" You detect a hint of sarcasm, buy now it's time to make a decision.
","HSI_TC1_13_1:Convince the knight that there are still people to protect.
HSI_TC1_13_2:Convince the Knight that she had been deceived.",
HSI_TC1_13_1,DialogOptionSelected,$option == HSI_TC1_13_1,,"You repeatedly reassure the knight that its actions were just. The blame lay not with it, but with the bishops — in contrast to its peers, it stood as a true knight.

Only when you reminded it that someone still needed protecting did the knight finally lift its head. ""Name."" You hear it say.

You hesitate, but cannot think of a way to resolve this. You hear a buzz from the communicator and, in that moment, decide to take a risk.","HSI_TC1_14_1:""$playerName。""",
HSI_TC1_13_2,DialogOptionSelected,$option == HSI_TC1_13_2,,"You repeatedly reassure the knight that its actions were just. The blame lay not with it, but with the bishops — in contrast to its peers, it stood as a true knight.

Only when you said it had been misled did the knight finally lift its head. ""Name."" You hear it say.

You hesitate, but cannot think of a way to resolve this. You hear a buzz from the communicator and, in that moment, decide to take a risk.","HSI_TC1_14_2:""$playerName。""",
HSI_TC1_14_1,DialogOptionSelected,$option == HSI_TC1_14_1,"AddText ""\""I will protect you.\"" the knight says to you."" 110,110,250,255
HSITC1Orders GenKnight_SP
AddText ""\""So... all's well that ends well?\"" The communicator that had been silent for a long time buzzed again, and you realized that you'd never turned it off. You can only guess what kind of expression the Director wore while after listening to your performance. You quickly turn it off."" 110,110,250,255
$global.HSITC1Finished = true
HSITC1Orders ClearImportant HSI_TC1_MeetTheKnight
$player.KnownByTheCommissioner = true",,defaultLeave:Time to leave.,
HSI_TC1_14_2,DialogOptionSelected,$option == HSI_TC1_14_2,"AddText ""\""I will protect you.\"" the knight says to you."" 110,110,250,255
HSITC1Orders GenKnight
AddText ""\""So... all's well that ends well?\"" The communicator that had been silent for a long time buzzed again, and you realized that you'd never turned it off. You can only guess what kind of expression the Director wore while after listening to your performance. You quickly turn it off."" 110,110,250,255
$global.HSITC1Finished = true
HSITC1Orders ClearImportant HSI_TC1_MeetTheKnight
$player.KnownByTheCommissioner = true",,defaultLeave:Time to leave.,
,,,,,,
#HSITC1_Debriefing,,,,,,
HSI_TC1_A_0,PopulateOptions,"$global.HSITC1Finished
!$global.HSITC1AFinished
$faction.id == HSI
$market.id == HSI_SpaceBridge_Market
$isPerson
HSIPersonIdentityCheck PersonIsTheCommissioner",,,HSI_TC1_A_1:You vaguely recall this secretary wasn't the one who came to pick you up last time...,
HSI_TC1_A_1,DialogOptionSelected,$option == HSI_TC1_A_1,,"""$playerName $PlayerSirOrMadam, kindly bring the recovered entity with you and follow me.""
It takes a few seconds for you to realize the ""entity"" is the knight. You command the knight to follow you, then proceed to follow the secretary.",HSI_TC1_A_2:Look around...,
HSI_TC1_A_2,DialogOptionSelected,$option == HSI_TC1_A_2,,"Even though it's been a while since your last visit, you still feel like you're taking a little too quiet a route today.

The secretary guides you through a slightly winding corridor, and something about your memory feels off.",HSI_TC1_A_3:Did you round this corner last time?,
HSI_TC1_A_3,DialogOptionSelected,$option == HSI_TC1_A_3,,"Eventually, you stop in front of a familiar door. Instead of knocking, the secretary pushed the door open and gestured for you to enter.",HSI_TC1_A_4:Maybe I'm just unfamiliar with the business...,
HSI_TC1_A_4,DialogOptionSelected,$option == HSI_TC1_A_4,,"As you enter, something shifts. You move through what appears to be an illusion and find the Director standing at the table, her back to you.

You get the gut feeling that the Director seems colder today, even though you cannot see her expression. The knight begins to grow uneasy, its hand grazing the hilt of its sword as it cautiously moves to your side.

The Director remained silent.",HSI_TC1_A_5:Should I say something and ask?,
