name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
乾坤一掷,HSI_TheBet,,,,,,0.25,,1,,5,20,1,,,,,,,,,,,TRUE,,,graphics/icons/hullsys/reserve_deployment.png
葬送,HSI_ElegySystem,,,,,,0.2,,,,0.5,10,1,15,,,,,,,,,,,,,graphics/icons/hullsys/entropy_amplifier.png
化蝶,HSI_ButterflyDive,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,restricted,graphics/icons/hullsys/phase_cloak.png
异步时流,HSI_UnstableTimeFlow,1,,,,,0.5,,,,3,9,2,10,,,,,,,,,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
应急屏障,HSI_EmergencyBarrier,,,,,,0.2,,2,0.025,0.05,,2,1,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
快速增援,HSI_RapidReinforcement,,,,,,0.2,,2,0.0333,0.5,1,2,15,,,,,,,,,,TRUE,,,graphics/icons/hullsys/fortress_shield.png
IFF压制器,HSI_IFFDisruptor,,0.2,,,,,,3,0.04,1,10,2,8,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
时空分流,HSI_TimeShunt,,,,,,,,,,0.2,,0.2,1,,,,,,,,,,TRUE,,,graphics/icons/hullsys/interdictor_array.png
雷神之怒,HSI_ThorFury,1,,,,,0.2,,,,0.5,3,0.5,4,,,,,TRUE,,,,,,,,graphics/icons/hullsys/emp_emitter.png
层流化,HSI_LuminarFlow,,,,,,,,3,0.04,0.25,3,0.25,6,,,,,,,,,,,,,graphics/icons/hullsys/fortress_shield.png
战术折跃,HSI_Phaseteleporter,,,,,,,,,,1,,2.5,10.5,,,,TRUE,,,,,,,,,graphics/icons/hullsys/displacer.png
航行引擎,HSI_TravelJump,1,,,,,,,,,2,,2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
超光速引擎,HSI_HyperJump,1,,,,,,,,,2,,0.2,0,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
无畏冲锋,HSI_DreadnoughtCharge,1,,,,,,,3,0.05,1,2,1,12.5,TRUE,,,,,TRUE,TRUE,TRUE,,,,,graphics/icons/hullsys/burn_drive.png
深潜,HSI_DeepDive,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,,TRUE,,,graphics/icons/hullsys/phase_cloak.png
空间风,HSI_SpaceStorm,1,,,,,,,2,0.05,1.5,0.05,1.5,10,,,,,TRUE,,,,,TRUE,,,graphics/icons/hullsys/temporal_shell.png
弩手增援,HSI_Arbaletrier_Support,,,,,,,,2,,,,,,,,,,,,,,,,,,
女仆增援,HSI_Maid_Support,,,,,,,,1,0.05,,,,0.5,,,,,,,,,,,,,
举起大盾,HSI_ShieldUp,,,,,,,,,,0.5,,0.5,0.5,TRUE,,,,,,,,,,,,
超越驱动器,HSI_OverDrive,,,0.04,,,,,,,2,10,3,10,,,,,,,,,,,,,graphics/icons/hullsys/infernium_injector.png
时空操作,HSI_TSControl,,,,,,,,3,0.0667,0.5,1,0.5,2,,,,,,,,,,,,,graphics/icons/hullsys/temporal_shell.png
闪避机动,HSI_DodgeFighter,,,,,,,,,,0.1,0.3,0.1,2.5,,,,,TRUE,,,,,,,,
白昼极光,HSI_DayTimeAurora,,,,,,,,,,2,5,1,10,TRUE,,,,,,,,,,,,graphics/icons/hullsys/burn_drive.png
上行火控链路,HSI_UplinkFireControl,1,,,,,0.2,,1,0.0333,1,20,1,15,,,,,,,,,,,TRUE,,graphics/icons/hullsys/interdictor_array.png
全甲板突击,HSI_DeckLoadStrike,,,,,,0.2,,,,0,0.5,0,360,,,,,,,,,,,TRUE,,graphics/icons/hullsys/reserve_deployment.png
最终壁垒,HSI_FinalFortress,1,,,,,,,1,0.1,0.8,6.4,0.8,4,,,,,,,,,,,TRUE,,graphics/icons/hullsys/fortress_shield.png
超越爆裂驱动,HSI_OverBurstDrive,1,,,,,,,3,0.1,0.4,0.4,0.5,,,,,,,,TRUE,TRUE,,,,restricted,graphics/icons/hullsys/burn_drive.png
