name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
黄昏炮,HWI_Ragnarok,2,,9000,500,,3000,,1000,25,25,40,,,ENERGY,2700,,0.5,4.5,1,0,0,5,1,10,,1200,1200,,75,,,"FIRE_WHEN_INEFFICIENT,STRIKE, USE_VS_FRIGATES","energy16,HSI_Elite_bp",,光环动力武器工业,,打击,,,,,,,,,,
星流DEM,HWI_Stella,1,,1250,2000,,550,550,10,15,2,10,0.02,2,FRAGMENTATION,0,,0,15,1,,0,0,0,0,,350,100,8,600,,,"DO_NOT_AIM,USE_VS_FRIGATES,HEATSEEKER","missile4, damage_special,HSI_bp,HWI_Upd",,光环动力武器工业,,反结构,较快,优秀,,,在短时间内造成 %s 破片伤害和 %s EMP。命中船体或装甲时，产生打击武器和引擎的电弧，造成EMP伤害。命中护盾时依据硬幅能水平概率生成电弧。 ,50x11|50x11,,,,
星流Payload,HWI_Stella_Payload,1,,0,500,,50,50,10,20,,,,,FRAGMENTATION,0,,0,1,11,0.05,7,20,4,10,,1000,1000,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,光环动力武器工业,,反结构,,,,,,,,,,
星尘DEM,HWI_Stardust,1,,1250,2000,,550,550,10,15,8,40,0.1,2,FRAGMENTATION,0,,0,15,2,,0,0,0,0,,350,100,8,600,,,"DO_NOT_AIM,USE_VS_FRIGATES,HEATSEEKER","missile4, damage_special,HSI_bp,HWI_Upd",,光环动力武器工业,,反结构,较快,优秀,,,在短时间内造成 %s 破片伤害和 %s EMP。命中船体或装甲时，产生打击武器和引擎的电弧，造成EMP伤害。命中护盾时依据硬幅能水平概率生成电弧。 ,50x11|50x11,,,,
星极DEM,HWI_Astesia,2,,3000,2000,,550,550,,12,18,240,0.2,6,FRAGMENTATION,0,,0,13,6,0.25,0,0,0,0,,350,100,8,600,,,"DO_NOT_AIM,USE_VS_FRIGATES,HEATSEEKER","missile16,damage_special,HSI_bp,HWI_Upd",,光环动力武器工业,,通用,较快,优秀,,,在短时间内造成 %s 破片伤害和 %s EMP。命中船体或装甲时，产生打击武器和引擎的电弧，造成EMP伤害。命中护盾时依据硬幅能水平概率生成电弧。,50x11|50x11,,,,
星极Payload,HWI_Astesia_Payload,2,,0,500,,50,50,,20,,,,,FRAGMENTATION,0,,0,1,11,0.05,7,20,4,10,,1000,1000,,,,,"SYSTEM, DANGEROUS",fires_one_burst,,光环动力武器工业,,通用,,,,,,,,,,
烟火鱼雷发射架,HWI_Fireworks_S,1,,500,1600,,1250,,,16,3,3,,,HIGH_EXPLOSIVE,,,0,4,1,0,0,0,0,0,,550,150,4,250,,,STRIKE,"HSI_bp,missile2",,光环动力武器工业,,反装甲,较快,无,,,,,,,TRUE,
烟火鱼雷发射器,HWI_Fireworks_M,1,,1500,1600,,1250,,,12,8,8,,,HIGH_EXPLOSIVE,,,0,6.25,2,0,0,0,0,0,,550,150,4,250,,,STRIKE,"HSI_bp,missile6",,光环动力武器工业,,反装甲,较快,无,,,,,,,TRUE,
烟火鱼雷发射舱,HWI_Fireworks_L,1,,3000,1600,,1250,,,8,28,28,,,HIGH_EXPLOSIVE,,,0,5,4,0.25,0,0,0,0,,550,150,4,250,,,STRIKE,"HSI_bp,missile12",,光环动力武器工业,,反装甲,较快,无,,,,,,,TRUE,
雷鸣MIRV发射架,HWI_Thunder_S,1,,1000,1200,,3200,3200,35,10,2,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,200,50,12,425,,,GUIDED_POOR,"HSI_bp,missile3",,光环动力武器工业,,通用,较慢,较差,,,接近目标时分裂 %s 弹头。弹头造成 %s 能量伤害和EMP。,8枚|400,,,TRUE,
雷鸣MIRV发射舱,HWI_Thunder_M,1,,1000,1200,,3200,3200,35,10,9,3,,,ENERGY,0,,0,15,1,,0,0,0,0,,200,50,12,425,,,GUIDED_POOR,"HSI_bp,missile7",,光环动力武器工业,,通用,较慢,较差,,,接近目标时分裂 %s 弹头。弹头造成 %s 能量伤害和EMP。,8枚|400,,,TRUE,
听雨鱼雷发射器,HWI_TingYu_M,2,,4400,2500,,4000,,1500,12,12,2,,,ENERGY,0,,0,15,1,,0,0,0,0,,75,0,120,750,,,,"missile7,HSI_Elite_bp",,光环动力武器工业,,通用,非常慢,很差,,,追踪最近/质量最大的活动舰船,,视为 %s 武器,无制导,TRUE,
听雨鱼雷发射舱,HWI_TingYu_L,3,,11000,2500,,4000,,1500,6,27,9,,,ENERGY,0,,0,12,3,4,0,0,0,0,,75,0,120,750,,,,"missile7,HSI_Elite_bp",,光环动力武器工业,,通用,非常慢,很差,,,追踪最近/质量最大的活动舰船,,视为 %s 武器,无制导,TRUE,
海妖火箭发射架,HWI_Kraken,1,,1250,1500,,400,,8,30,10,45,,,HIGH_EXPLOSIVE,0,,0,1,1,,10,25,9,5,,375,50,4.5,100,,,,"rocket13, strike8, HSI_bp",,光环动力武器工业,,压制,较快,无,,很差,槽位类型不包含导弹时，备弹数量不受属性影响，,,不会直接撞击目标，附近存在目标时会延迟一定时间引爆,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HWIUpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷神炮(HWI),HWI_mjolnir,4,0,6000,900,,400,200,10,25,24,,,,ENERGY,500,,0,0.75,1,,0,5,1,10,,900,,,75,,,,"HWI_Upd,energy18, he17, kinetic17,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,通用,,,,,,,,,,7.5
轻型针刺(HWI),HWI_lightneedler,4,0,800,700,,50,,1,20,8,,,,KINETIC,40,,0,4.3,15,0.05,0,10,0.66,5,,1200,,,10,,,,"HWI_Upd,kinetic9, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,3.65
重型针刺(HWI),HWI_heavyneedler,4,0,2500,700,,50,,1,15,15,,,,KINETIC,40,,0,4.55,30,0.05,1,10,0.5,5,,1200,,,10,,,,"HWI_Upd,kinetic15,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,5.75
IR自动长矛(HWI),HWI_irautolance,4,0,1200,800,500,,,0,50,8,40,2,10,FRAGMENTATION,,150,0,,0.1,0.1,,,,,1000000,,,,,,,"PD, ANTI_FTR","HWI_Upd,beam12, energy10,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,点防御,,,,,光束命中目标时，对命中位点周围的目标造成最多 %s 点 %s 伤害。,50|破片,,,,
保卫者PD(HWI),HWI_guardian,4,0,5000,750,1100,,,0,75,18,,,,ENERGY,,750,0,0,0.2,0.4,,,,,1000000,,,,,,,"PD, ANTI_FTR","HWI_Upd,pd19, beam15,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,点防御,,,,,所有光束命中目标时，对命中位点周围的目标造成最多 %s 点 %s 伤害。,100|破片,,,,26
自动脉冲激光(HWI),HWI_autopulse,4,0,4500,700,,150,,0,20,20,30,2,,ENERGY,125,,0.05,0.05,1,,0,10,1,5,,1000,,,,,,,"HWI_Upd,energy16,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,通用,,,,,,,,,,25
等离子炮(HWI),HWI_plasma,4,0,7500,700,,500,,,20,30,,,,ENERGY,550,,0.33,1.01,3,0.33,,,,,,750,,,500,,,"STRIKE, USE_VS_FRIGATES","HWI_Upd,energy21,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,通用,,,,,不会主动攻击战机。,,,,,23
高强度激光(HWI),HWI_hil,4,0,4500,1000,500,,,0,5,20,,,,HIGH_EXPLOSIVE,,400,0.1,0.1,,,,,,,2400,,,,,,,,"HWI_Upd,beam20, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反装甲,,,,,,,,,,24
速子长矛(HWI),HWI_tachyonlance,4,0,8000,1000,1500,,1000,0,7,25,,,,ENERGY,,2000,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"HWI_Upd,energy20, beam15, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,压制,,,,,命中船体或装甲时持续产生打击武器与引擎的电弧，造成额外 EMP 与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。,,,,,27
相位长矛(HWI),HWI_phasebeam,4,0,1500,600,1000,,,0,20,10,,,,ENERGY,,800,0.25,0.5,1,4,,,,,3200,,,,,,,,"HWI_Upd,energy14, beam10,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,通用,,,,,,,,,,20
重型冲击波(HWI),HWI_heavyblaster,4,0,2500,600,,400,,0,15,12,,,,ENERGY,518,,0,1,,,,,,,,1000,,,,,,,"HWI_Upd,energy14,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,通用,,,,,,,,,,22.25
引力子束(HWI),HWI_gravitonbeam,4,0,1500,1000,100,,,10,15,9,,,,KINETIC,,75,0.1,0.1,,,,,,,2400,,,,,,,,"HWI_Upd,beam12, kinetic11, LR, no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,压制,,,,,干扰目标护盾，使其受到的所有伤害。被单引力子束照射时提高 %s，被两束同时照射则提高 %s，被三束或以上同时照射时提高 %s。这个效果不受 %s 的影响。,5% | 8% | 10% |熔毁升级,引力效应会使目标减速并偏离航向。这种效应的影响力度并不大，但对战斗机和导弹而言依然较为明显。,,,21
离子束(HWI),HWI_ionbeam,4,0,2500,1000,50,,400,0,15,12,,,,ENERGY,,150,0.1,0.1,,,,,,,2400,,,,,,,FIRE_WHEN_INEFFICIENT,"HWI_Upd,beam14, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,瘫痪,,,,,命中船体或装甲时持续产生打击武器与引擎的电弧，造成额外 EMP 与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。,,,,,22.85
钻探激光(HWI),HWI_mininglaser,4,0,100,600,30,,,0,80,1,,,,ENERGY,,10,0,0.25,,,,,,,2400,,,,,,,PD,"HWI_Upd,beam0, energy0, pd0,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,点防御,,,,,,,,,,16.5
重型自动炮(HWI),HWI_heavyac,4,0,1000,800,,100,,10,7,10,,,,KINETIC,90,,0,2.2,9,0.25,0,8,3,10,,800,,,30,,,,"HWI_Upd,kinetic14,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,5
离子脉冲(HWI),HWI_ionpulser,4,0,2250,500,,90,600,0,20,11,20,2,10,ENERGY,100,,0.05,0.05,5,0.1,3,20,1,4,,1000,,,,,,,"HWI_Upd,energy13,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,压制,,,,,命中船体或装甲时，有 %s 概率产生打击武器与引擎的电弧，造成额外伤害。,25%,,,,22.75
高斯炮(HWI),HWI_gauss,4,0,5000,1200,,700,,300,3,25,,,,KINETIC,1200,,1,1,,,,,,,,1200,,,400,,,,"HWI_Upd,kinetic20, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,6
反物质冲击波(HWI),HWI_amblaster,4,0,900,400,,1400,,0,30,9,20,,,ENERGY,1500,,0.25,10,,,0,0,0,0,,1000,,,100,,,"STRIKE, USE_VS_FRIGATES, GROUP_ALTERNATING","HWI_Upd,strike10,no_sell, no_drop, no_drop_salvage",SR_strike_only,光环动力武器工业,,打击,,,,,,,,,,19.75
高速打击者(HWI),HWI_hveldriver,4,0,2250,1000,,275,400,40,10,13,,,,KINETIC,350,,0,2,1,,,,,,,1000,,,300,,,,"HWI_Upd,kinetic15, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,5.5
轻型双管自动炮(HWI),HWI_lightdualac,4,0,300,600,,50,,3,20,5,,,,KINETIC,40,,0,0.6,2,0.1,0,20,3,9,,800,,,20,,,,"HWI_Upd,kinetic7,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反护盾,,,,,,,,,,2.5
重型撕裂者(HWI),HWI_heavymauler,4,0,2000,1000,,200,,10,20,12,,,,HIGH_EXPLOSIVE,200,,0,4.4,3,0.3,0,5,1,10,,900,,,30,,,,"HWI_Upd,he16, LR,no_sell, no_drop, no_drop_salvage",,光环动力武器工业,,反装甲,,,,,,,,,,4.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""小帮手""",HWI_Wingman,2,,3000,25,,250,0,0,36,7,4,0.02,,ENERGY,100,,0,20,1,,0,0,0,0,,125,300,0.5,1500,,,"PD,PD_ONLY","HSI_Elite_bp,pd3",,光环动力科学技术部,,点防御,,,,,"发射一架无人机环绕自身。无人机会尝试撞击周围的高威胁射弹和持续光束,并在过载或 %s 秒后自毁。",90,护盾具有 %s 容量。携带有一门轻型瞬发激光。自毁时，对附近一定区域造成 %s 能量伤害的爆炸。,2000|500,,
"""中帮手""",HWI_Tunnel,3,,4500,1000,50,,,10,24,15,,,,ENERGY,,2000,0.1,0.1,0.1,11,,,,,100000,,,,,,,FIRE_WHEN_INEFFICIENT,"HSI_Elite_bp,energy9",,光环动力科学技术部,,通用,,,,,使用 %s 架无人机对目标的后方进行攻击。,3,无人机不会被锁定。每次攻击造成约 %s 能量伤害和 %s EMP，而且可能产生电弧。,250|250,,
"""大帮手""",HWI_WingMan_Catapult,3,,10000,1000,100,,,10,12,28,,,,ENERGY,,0,0.1,0.1,,,,,,,100000,,,,,,,FIRE_WHEN_INEFFICIENT,"HSI_Elite_bp,energy18",,光环动力科学技术部,,通用,,,,,可以存储并控制最多 %s 架无人机攻击。无人机损失后自动消耗一定时间和幅能补充，幅能不足时暂停。无人机攻击时，每秒消耗 %s 幅能。,8|200,护盾具有 %s 容量。携带有一门射速和射程都减半的 %s 。,275|离子矛,,
束能长矛,HWI_FocusLance,2,,9000,1000,1942,,0,0,8,30,,,,ENERGY,,2000,0.5,1,1.2,5.5,,,,,100000,,,,,,,"DANGEROUS,FIRE_WHEN_INEFFICIENT","HSI_Elite_bp,energy23,beam16,HSI_Elite_bp",,光环动力科学技术部,,通用,,,,,命中护盾时，额外造成相当于 %s 被目标护盾减少伤害的硬幅能。,15%,,,,
反击,HWI_Counter,1,,6500,700,,800,,,27,22,,,,FRAGMENTATION,160,,0,0.8,1,0,0,0,0,0,,900,900,,1500,,,PD,"HSI_bp,pd18",,光环动力科学技术部,,点防御,,,,,发射定时引爆的射弹。,,,,,
二象性-防空系统,HWI_Duality,2,,3500,400,,20,,12,75,12,,,,FRAGMENTATION,7,,0,0.1,1,,0,8,8,6,,500,,,50,,,"PD,PD_ONLY","HSI_bp,pd6",,光环动力科学技术部,,点防御,,,,,"具有射程为 %s 的点防御导弹。冷却时间: %s ,最大弹药: %s , 弹药恢复: %s, 伤害: %s 。",1000su|0.2s|4|10秒/发|250,,,,
离子矛,HWI_IonLance,2,,1300,600,400,,200,,30,7,,,,ENERGY,,400,0.25,0.5,1,4,,,,,100000,,,,,,,,"HSI_Elite_bp,energy14,beam10",,光环动力科学技术部,,通用,,,,,命中船体或装甲时，周期性产生打击武器和引擎的电弧，造成能量和EMP伤害。命中护盾时依据硬幅能水平概率生成电弧。,,,,,
离子长矛,HWI_IonLanceM,1,,2000,600,660,,330,0,20,11,,,,ENERGY,,660,0.25,0.5,1,4,,,,,100000,,,,,,,,"HSI_Elite_bp,energy16,beam12",,光环动力科学技术部,,通用,,,,,命中船体或装甲时，周期性产生打击武器和引擎的电弧，造成能量和EMP伤害。命中护盾时依据硬幅能水平概率生成电弧。,,,,,
咆哮者-重型双联机炮,HWI_Roamer,1,,7500,800,,50,,1,20,30,,,,ENERGY,30,,0,0.858,30,0.05,1,6,0.5,5,,1200,,,10,,,"STRIKE, USE_VS_FRIGATES","HSI_Elite_bp,energy20",,光环动力科学技术部,,通用,,,,,,,,,,
爱恋-超重型磁轨炮,HWI_Liebe,3,,11500,1200,,2000,,1000,4,35,,,,KINETIC,3800,,4.5,4.5,1,,0,0,0,0,,1200,,,175,,,"STRIKE, USE_VS_FRIGATES","HSI_Elite_bp,energy20",,光环动力科学技术部,,反护盾,,,,,未完全充能时也能开火。基础造成 %s 伤害，每 %s 提高 %s 伤害，幅伤比不变。,60%|充能20%|8%,,,,
火树-防空导弹,HWI_HuoShu,2,,1200,1000,,100,,15,60,4,8,0.5,,FRAGMENTATION,100,,0,0.2,1,0,0,0,0,0,,500,500,3.5,125,,,"PD,PD_ONLY,ANTI_FTR,DO_NOT_CONSERVE,GUIDED_POOR","HSI_Elite_bp,pd3",,光环动力科学技术部,,点防御,非常快,优秀,,,只能同时引导 %s 枚导弹。,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Built-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
征服者涡轮炮,HWI_ConquerorCannon,3,,7000,1000,,25,5,12,10,0,,,,ENERGY,0,,0,6,1,0,4,8,1,1,,800,800,,15,,,"SYSTEM,FIRE_WHEN_INEFFICIENT",,,光环动力武器工业,,压制,,,,,持续开火时最高提高 %s 射速和 %s 伤害。射速加成达到 %s 时开火额外耗散 %s 当前幅能，并将此数值的 %s 附加至当次开火。停止开火后经过一段时间射速提升效果消失。,100%|30%|60%|0.8%|10%,,,,
征服者涡轮炮,HWI_ConquerorCannon1,3,,7000,1000,,25,5,12,10,0,,,,ENERGY,0,,0,6,1,0,4,8,1,1,,800,800,,15,,,"SYSTEM,FIRE_WHEN_INEFFICIENT",,,光环动力武器工业,,压制,,,,,持续开火时最高提高 %s 射速和 %s 伤害。射速加成达到 %s 时开火额外耗散 %s 当前幅能，并将此数值的 %s 附加至当次开火。停止开火后经过一段时间射速提升效果消失。,100%|30%|60%|0.8%|10%,,,,
人理之锤,HWI_HammerOfHumanity,3,,200000,1200,,1750,,75,0,0,3,0.2,,ENERGY,1500,,1.75,1,1,,0,0,0,0,,1200,1200,,125,,,"SYSTEM,STRIKE,USE_VS_FRIGATES,DO_NOT_CONSERVE",,,光环动力武器工业,,毁灭,,,,,可以持续追踪目标。,,,,,
埋葬PD激光,HWI_Bury,3,,100000,450,250,,,0,360,0,,,,ENERGY,0,,0.1,0.03,0.2,0.5,0,0,0,0,100000,,,,,,,"SYSTEM,PD",,,光环动力武器工业,,点防御,,,,,,,,,,
天象,HWI_Phenomenon,3,,13000,1000,,25,100,10,5,30,,,,ENERGY,400,,1,11,,,,,,,,200,150,100,10000,,,"SYSTEM,FIRE_WHEN_INEFFICIENT",,,光环动力科学技术部,,瘫痪,,,,,发射一团电弧云，持续向周围发射电弧。,,,,TRUE,
共振矩阵,HWI_AntiAromr,4,,30000,1000,,300,300,15,12,16,1,0.05,,HIGH_EXPLOSIVE,,,0,31,1,,0,0,0,0,,2000,2000,,2000,,,"SYSTEM,STRIKE,CONSERVE_FOR_ANTI_ARMOR",,,光环动力科学技术部,,削弱,,,,,发射一枚射弹，命中后降低目标 %s 的 %s 和 %s 的 %s，持续至多 %s 秒。此时间随目标装甲提高缩短，最少为 %s 秒(2000装甲)。,50%|装甲强度|25%|最大装甲减伤|30|13,,,,
干扰矩阵,HWI_Disruptor,4,,30000,1500,,300,300,15,12,16,1,0.05,,ENERGY,,,0,31,1,,0,0,0,0,,175,175,40,2000,,,"SYSTEM,GUIDED_POOR,USE_VS_FRIGATES,DO_NOT_CONSERVE",,,光环动力科学技术部,,削弱,,,,,发射一枚射弹，命中后降低目标 %s 的武器射速且禁用 %s 和 %s ，持续至多 %s 秒。,50%|战术系统|护盾控制|5,,,,
灯花,HWI_Candlewick,1,,2200,2000,,200,,,15,6,,,,KINETIC,,,0,16,3,1,60,120,100,15,,100,100,15,600,,,"PD,DO_NOT_AIM,DANGEROUS,SYSTEM",,,光环动力科学技术部,,诱饵,,,,,,,,,,
球状闪电,HWI_BallLightning,3,,100000,1000,,0,2500,35,15,0,1,,,ENERGY,,,0,5,1,1.5,0,0,0,0,,400,150,4,400,,,"SYSTEM,STRIKE",,,光环动力科学技术部,,瘫痪,,,,,,,,,,
星流DEM(战机),HWI_Stella_Fighter,1,,3000,500,,1000,2000,10,15,1,1,,,FRAGMENTATION,0,,0,5,1,,0,0,0,0,,350,100,8,250,,,"DO_NOT_AIM,USE_VS_FRIGATES,SYSTEM",,,光环动力武器工业,,反结构,,,,,在短时间内造成 %s 破片伤害和 %s EMP。命中船体或装甲时，产生打击武器和引擎的电弧，造成EMP伤害。命中护盾时依据硬幅能水平概率生成穿透护盾的电弧。,100x10|200x10,,,,
烟火鱼雷(战机),HWI_Fireworks_Fighter,1,,1200,600,,750,,,16,0,1,,,HIGH_EXPLOSIVE,,,0,8,1,0,0,0,0,0,,550,150,4,250,,,"SYSTEM,STRIKE",,,光环动力武器工业,,反装甲,,,,,,,,,,
雷鸣MIRV(战机),HWI_Thunder,4,,100000,1200,,3200,3200,150,10,0,1,,,ENERGY,0,,0,1,1,,0,0,0,0,,200,50,12,425,,,"GUIDED_POOR,SYSTEM",,,光环动力武器工业,,通用,,,,,接近目标时分裂 %s 弹头。弹头造成 %s 能量伤害和EMP。,8枚|400,,,,
小型惯性炸弹挂架,HWI_UGB_S,0,0,200,500,,600,,50,15,0,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,300,20,25,250,,,"STRIKE, BOMB,SYSTEM","he0, no_sell, no_drop, no_drop_salvage",,,,Strike,,,,,,,,,TRUE,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#L-Department#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亡蝶,HSI_ButterFly,4,0,50000,2000,,50,0,1,0,0,,,,ENERGY,0,,0,0,1,0,0,0,0,0,,300,200,16,50,,,SYSTEM,,,[数据不存在],,,,,,,,,,,,
蝶舞,HSI_DancingButterFly,4,0,50000,2000,,300,0,1,0,0,,,,ENERGY,0,,0,9,3,0.5,0,0,0,0,,400,200,8,300,,,"SYSTEM,USE_VS_FRIGATES,DO_NOT_CONSERVE,DO_NOT_AIM","missile8, strike4, damage_special, damage_soft_flux",,[数据不存在],,压制,,,,,在接近目标后向侧面飞行，并在短时间内造成 %s 伤害。,300,,,,
蝶舞-载荷,HSI_DancingButterFlyPayload,4,0,50000,1000,1000,,0,0,0,0,,,,ENERGY,,0,0,0,0.3,1.2,0,0,0,0,100000,,,,,,,SYSTEM,,,[数据不存在],,,,,,,,,,,,
