trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,frameOffsetMult,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
#float frameOffsetMult: scales the per-frame velocity offset (only necessary for overkill levels of control with default x1 multiplier).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#EXAMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#SKR_blackout_shot,SKR_blackout_shot,SKR_fuzzyTrail,10,0.1,0.1,0.5,24,12,"[25,200,150]","[50,100,200]",0.8,-128,-256,TRUE,10,0,0,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,true,false
HWI_HOH_ShotA,HWI_HOH_Shot,base_trail_smooth,10,0.1,0.1,0.5,32,16,"[175,25,220]","[150,20,220]",0.75,-512,-256,TRUE,10,0,0,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,false,false
HWI_HOH_ShotB,HWI_HOH_Shot,base_trail_rough,15,0.1,0.2,0.5,40,28,"[100,50,220]","[90,50,220]",0.5,-512,-256,TRUE,10,0,0,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,false,false
HWI_FirstMantitude,HWI_FirstMantitude,base_trail_smooth,10,0.1,0.2,0.5,16,8,"[95,85,255]","[95,95,255]",0.75,-512,-256,TRUE,10,0,0,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,false,false
HSI_ButterFly,HSI_ButterFly,HSI_ButterFly_Trail,10,0.1,0.1,0.5,24,12,"[200,200,175]","[200,200,175]",0.8,-128,-256,TRUE,10,0,2,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,true,false
HWI_Liebe_Shot_A,HWI_Liebe_shot,base_trail_aura,20,0.1,0.15,1,12,20,"[225,225,255]","[255,255,255]",0.75,-512,0,TRUE,10,0,0,0,FALSE,FALSE,TRUE,25,0,0,0,0,180,false,false
HWI_Liebe_Shot_B,HWI_Liebe_shot,base_trail_smooth,20,0.1,0.33,0.5,16,32,"[175,145,225]","[200,195,255]",0.75,-512,0,TRUE,10,0,1,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,false,false
HWI_Liebe_Shot_C,HWI_Liebe_shot,base_trail_smooth,20,0.1,0.33,0.5,16,32,"[175,145,225]","[200,195,255]",0.75,-512,0,TRUE,10,0,-1,0,FALSE,FALSE,TRUE,50,0,0,0,0,180,false,false
